,event,key,color,team1,team2,team3,score,scorePredStd,scorePredRobust,scorePredHybrid,scorePredRobustHybrid,scorePredSplitFoul,scorePredRobustSplitFoul,scorePredHybridSplitFoul,scorePredRobHybSplitFoul,margin,marginPredStd,marginPredRobust,marginPredHybrid,marginPredRobustHybrid,marginPredSplitFoul,marginPredRobustSplitFoul,marginPredHybridSplitFoul,marginPredRobHybSplitFoul,auto,autoCell,teleop,endgame,foulsDrawn,opp1,opp2,opp3,oppScore,foulsMade,compLevel,matchNumber,alliance,allianceOpp,alliancePair,weight,weightPair
72,2020qcsh,2020qcsh_sf2m2,blue,4947,7605,2016,188,85.10601536759901,94.43042080646673,84.24737458054568,91.49326822863745,73.48460258250186,76.6284404192861,72.6259617954485,73.69128784145674,87,-64.48137788509328,-42.111279071805754,-61.42101609436844,-42.014748346676214,-63.145217624748355,-57.377246271869566,-60.084855834023514,-57.280715546740126,49,34,124,90,15,3996,5528,4955,101,0,sf,2,6,2,62,0.2,0.3333333333333333
73,2020qcsh,2020qcsh_sf1m3,blue,4942,3986,3544,74,100.06061353892784,94.92282415769998,105.12229229590086,100.9501385214666,97.54539345119821,96.60526747622471,102.60707220817125,102.63258183999132,-114,-26.477570788726197,-28.237957194249333,-35.141468576601554,-36.65625253532001,-16.22257785748731,-17.242502927801425,-24.886475645362637,-25.660798268872,27,12,47,35,0,3360,3990,2626,188,-18,sf,3,5,1,51,0.2,0.3333333333333333
74,2020qcsh,2020qcsh_sf2m3,blue,4947,7605,2016,0,85.10601536759901,94.43042080646673,84.24737458054568,91.49326822863745,73.48460258250186,76.6284404192861,72.6259617954485,73.69128784145674,-138,-64.48137788509328,-42.111279071805754,-61.42101609436844,-42.014748346676214,-63.145217624748355,-57.377246271869566,-60.084855834023514,-57.280715546740126,53,38,111,90,0,3996,5528,4955,138,-21,sf,3,6,2,62,0.2,0.3333333333333333
75,2020qcsh,2020qcsh_f1m1,blue,3996,5528,4955,106,149.5873932526923,136.54169987827248,145.66839067491412,133.50801657531366,133.14847997071908,132.85205046525738,129.22947739294088,129.8183671622986,-37,23.049208925038258,13.380918526323171,5.404629802411705,-4.098374481472945,23.71613998187837,24.938493065701138,6.07156085925179,7.459200057905193,53,38,50,15,3,3360,3990,2626,143,0,f,1,2,1,21,0.14285714285714285,0.5
76,2020qcsh,2020qcsh_f1m2,blue,3996,5528,4955,103,149.5873932526923,136.54169987827248,145.66839067491412,133.50801657531366,133.14847997071908,132.85205046525738,129.22947739294088,129.8183671622986,-77,23.049208925038258,13.380918526323171,5.404629802411705,-4.098374481472945,23.71613998187837,24.938493065701138,6.07156085925179,7.459200057905193,23,8,80,65,0,3360,3990,2626,180,0,f,2,2,1,21,0.14285714285714285,0.5
61,2020qcsh,2020qcsh_qf1m1,red,3360,3990,2626,128,126.53818432765404,123.16078135194931,140.26376087250242,137.6063910567866,123.87009344445244,121.43065717652918,137.5956699893008,135.87626688136635,32,51.32042596957733,47.12366058470312,52.650833066136144,48.35982877799053,45.72326727430851,42.114311891480156,47.053674370867384,43.35048008476751,51,36,77,55,0,2013,3386,1772,96,-6,qf,1,1,8,18,0.14285714285714285,0.5
62,2020qcsh,2020qcsh_qf2m1,red,4952,296,2095,110,107.11274243885292,106.68311309336794,101.65525772562445,103.07595096622258,98.96441331743068,99.14346208520861,93.50692860420222,95.53629995806321,-31,7.05212889992508,11.760288935667958,-3.467034570276411,2.1258124447559794,5.312151105442837,7.946095295345259,-5.207012364758668,-1.6883811955667483,35,20,75,65,0,4942,3986,3544,141,-15,qf,1,4,5,45,0.5,0.5
63,2020qcsh,2020qcsh_qf3m1,red,3996,5528,4955,127,149.5873932526923,136.54169987827248,145.66839067491412,133.50801657531366,140.11989122034598,137.9219915848693,136.2008886425678,134.8883082819105,1,34.25965794316828,31.8041949098384,35.341249959367985,32.173636698245815,46.23837282699178,45.478271078760514,47.31996484319144,45.847712867168,43,28,69,65,15,2234,3117,3550,126,-6,qf,1,2,7,27,0.14285714285714285,0.5
64,2020qcsh,2020qcsh_qf4m1,red,5618,3988,5570,90,126.00709730265686,126.98180187207248,129.0608916808592,132.34669368734143,115.81133871354402,113.08969475458348,118.86513309174643,118.45458656985238,-116,40.901081935057846,32.55138106560575,44.81351710031353,40.85342545870398,18.042171577370226,12.805794753340578,21.954606742625998,21.107839146438835,45,30,45,25,0,4947,7605,2016,206,-30,qf,1,3,6,36,0.5,0.5
65,2020qcsh,2020qcsh_qf1m2,red,3360,3990,2626,187,126.53818432765404,123.16078135194931,140.26376087250242,137.6063910567866,123.87009344445244,121.43065717652918,137.5956699893008,135.87626688136635,56,51.32042596957733,47.12366058470312,52.650833066136144,48.35982877799053,45.72326727430851,42.114311891480156,47.053674370867384,43.35048008476751,69,54,103,65,15,2013,3386,1772,131,-15,qf,2,1,8,18,0.14285714285714285,0.5
